Numero iteracion,win_rate
1,0.59
2,0.59
3,0.899999
4,0.899999
5,0.899999
6,0.899999
7,0.949999
8,0.949999
9,0.949999
10,0.949999
11,0.949999
12,0.949999
13,0.949999
14,0.949999
15,0.949999
16,0.949999
17,0.949999
18,0.949999
19,0.949999
20,0.949999
21,0.949999
22,0.949999
23,0.949999
24,0.949999
25,0.949999
26,0.949999
27,0.949999
28,0.949999
29,0.949999
30,0.949999
31,0.949999
32,0.949999
33,0.949999
34,0.949999
35,0.949999
36,0.949999
37,0.949999
38,0.949999
39,0.949999
40,0.949999
41,0.949999
42,0.949999
43,0.949999
44,0.949999
45,0.949999
46,0.949999
47,0.949999
48,0.949999
49,0.949999
50,0.949999
