Numero iteracion,win_rate
0,0.73
1,0.73
2,0.73
3,0.73
4,0.73
5,0.859999
6,0.859999
7,0.859999
8,0.859999
9,0.859999
10,0.859999
11,0.859999
12,0.859999
13,0.859999
14,0.859999
15,0.859999
16,0.859999
17,0.859999
18,0.859999
19,0.859999
20,0.859999
21,0.859999
22,0.859999
23,0.859999
24,0.859999
25,0.859999
26,0.859999
27,0.859999
28,0.859999
29,0.859999
30,0.859999
31,0.859999
32,0.859999
33,0.859999
34,0.859999
35,0.859999
36,0.859999
37,0.859999
38,0.859999
39,0.859999
40,0.949999
41,0.949999
42,0.949999
43,0.949999
44,0.949999
45,0.949999
46,0.949999
47,0.949999
48,0.949999
49,0.949999
